epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.627,1.09155,1.33605,1.29065,0.78545,0.66793,0.69646,0.40899,1.47443,1.57164,1.67337,0.000183789,0.000183789,0.000183789
2,43.8413,1.10853,1.07595,1.28551,0.79559,0.66939,0.70755,0.40947,1.48381,1.60784,1.64998,0.000361814,0.000361814,0.000361814
3,62.844,1.15783,1.05243,1.27997,0.74466,0.64489,0.69021,0.40259,1.52927,1.55108,1.71336,0.000532499,0.000532499,0.000532499
4,81.6561,1.15922,1.06005,1.2727,0.71021,0.65824,0.6823,0.38853,1.51367,1.62742,1.69072,0.000522974,0.000522974,0.000522974
5,100.541,1.20191,1.10676,1.31605,0.77132,0.67436,0.72173,0.42133,1.46776,1.44832,1.61642,0.000511965,0.000511965,0.000511965
6,119.474,1.16409,1.03858,1.28381,0.79987,0.66481,0.72398,0.41797,1.48441,1.43223,1.62027,0.000500956,0.000500956,0.000500956
7,138.399,1.15068,1.00489,1.2747,0.79383,0.67485,0.7287,0.41568,1.46811,1.53375,1.61636,0.000489947,0.000489947,0.000489947
8,157.242,1.13933,0.98526,1.26102,0.78802,0.68629,0.73361,0.42054,1.48614,1.41159,1.61355,0.000478938,0.000478938,0.000478938
9,176.223,1.1403,0.9787,1.26144,0.79761,0.67197,0.73115,0.42535,1.47776,1.41833,1.62386,0.00046793,0.00046793,0.00046793
10,195.189,1.12191,0.96098,1.25312,0.7494,0.66835,0.7178,0.41514,1.47393,1.50125,1.62682,0.000456921,0.000456921,0.000456921
11,214.262,1.11444,0.93705,1.24854,0.79164,0.69484,0.74357,0.42844,1.45101,1.41825,1.58731,0.000445912,0.000445912,0.000445912
12,233.253,1.10357,0.92288,1.24468,0.78597,0.70797,0.75572,0.44197,1.44124,1.34533,1.58502,0.000434903,0.000434903,0.000434903
13,252.204,1.10671,0.91246,1.23459,0.80131,0.6852,0.74505,0.43119,1.47101,1.3766,1.61801,0.000423894,0.000423894,0.000423894
14,271.105,1.10418,0.91625,1.24028,0.79995,0.71469,0.75696,0.44531,1.4324,1.40968,1.58221,0.000412886,0.000412886,0.000412886
15,290.052,1.09816,0.91056,1.24593,0.78195,0.70294,0.73274,0.43206,1.45084,1.45759,1.599,0.000401877,0.000401877,0.000401877
16,309.013,1.08037,0.87273,1.21912,0.78649,0.71757,0.75971,0.4461,1.44399,1.31884,1.57152,0.000390868,0.000390868,0.000390868
17,328.087,1.08689,0.87351,1.23249,0.78471,0.68914,0.74898,0.43539,1.44146,1.42134,1.58463,0.000379859,0.000379859,0.000379859
